IP,OpenPorts,Software,OperatingSystem,Details,Message
192.168.1.238,"1,753,367",OpenSSH,Ubuntu 20.04,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.126,"20,212,086",OpenSSH,Debian 11,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.121,"98,919,812",MySQL,Windows Server 2019,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.239,"20,042,664,546,596,800,000",PHP,Ubuntu 20.04,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.133,"4,354,560,019,074,760",Nginx,Debian 11,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.202,"8,218,605",Node.js,Debian 11,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.115,"278,931,733,072,759",OpenSSH,Debian 11,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.72,"830,187,195,494",PostgreSQL,Red Hat Enterprise Linux,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.72,"153,891,431,184",Node.js,CentOS 7,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.75,"44,911,865,338",Nginx,Debian 11,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.149,"93,896,155,268,828,500,000",PostgreSQL,Debian 11,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.13,"65,152,634,781,397,400,000",PHP,Red Hat Enterprise Linux,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.70,"452,880,538,866,253",Node.js,Windows Server 2019,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.227,"94,694,765",PostgreSQL,Debian 11,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.194,"2,717,659",MySQL,Debian 11,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.201,"520,729,495,930",Nginx,Red Hat Enterprise Linux,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.186,"75,625,196",Nginx,Debian 11,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.122,"5,197,688,452,024,950,000",Apache,CentOS 7,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.181,"26,538,914,187,870,500,000",Apache,Red Hat Enterprise Linux,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.170,"6,734,302,353,547,440",OpenSSH,Windows Server 2019,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.209,"24,481,846,412",Nginx,Ubuntu 20.04,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.165,"448,032,695,948",Nginx,Windows Server 2019,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.31,"3,779,235,128,839,620",PostgreSQL,Windows Server 2019,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.56,"96,175,957,321",PHP,Ubuntu 20.04,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.89,991,Nginx,Debian 11,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.222,114,Apache,Red Hat Enterprise Linux,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.204,"364,182,535,418",PHP,CentOS 7,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.171,"51,756,094",OpenSSH,Red Hat Enterprise Linux,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.167,"81,003,203",Apache,Windows Server 2019,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.149,"295,364,573,495",Node.js,CentOS 7,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.227,"2,597,662,721,305,570",OpenSSH,Windows Server 2019,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.110,"4,476,746,791,343,930,000",Apache,Windows Server 2019,Security anomaly detected without a matching known threat signature,Activity did not match known attack signatures but triggered alert
192.168.1.150,"53,157,169,639,531,700,000",Node.js,Ubuntu 20.04,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.42,"85,954,955",PHP,Red Hat Enterprise Linux,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.192,"1,961,451,114,721,070",PHP,Windows Server 2019,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.73,5478,PostgreSQL,CentOS 7,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.155,"12,164,518",Node.js,Windows Server 2019,Log files show execution of malicious binary with system privileges,Antivirus detected Trojan.Win32.Generic malware signature
192.168.1.226,7946,Apache,Debian 11,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
192.168.1.132,"9,895,846,931,249,860,000",Node.js,Ubuntu 20.04,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.184,"554,664,674,919",Apache,Ubuntu 20.04,Suspicious email content includes request to click link and update credentials,User received an email urging them to reset password via suspicious link
192.168.1.171,"85,145,704",Node.js,CentOS 7,Traffic overload observed on port 80 from unusual number of external sources,Service unavailable due to repeated requests from multiple IPs
192.168.1.19,"775,850,823,563",OpenSSH,CentOS 7,Unauthorized access attempt using SQL keywords targeting database login,Detected SQL query with suspicious keywords such as 'UNION SELECT' or '-- comment'
