[2025-04-04 20:44:07] ID: 1, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.238, Ports: [1 753 367], Software: OpenSSH, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 2, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.126, Ports: [20 212 86], Software: OpenSSH, OS: Debian 11
[2025-04-04 20:44:07] ID: 3, Type: Malware Infection, Severity: Medium, Status: Investigating, IP: 192.168.1.121, Ports: [98 919 812], Software: MySQL, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 4, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.239, Ports: [20 42 664 546 596 800 0], Software: PHP, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 5, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.133, Ports: [4 354 560 19 74 760], Software: Nginx, OS: Debian 11
[2025-04-04 20:44:07] ID: 6, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.202, Ports: [8 218 605], Software: Node.js, OS: Debian 11
[2025-04-04 20:44:07] ID: 7, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.115, Ports: [278 931 733 72 759], Software: OpenSSH, OS: Debian 11
[2025-04-04 20:44:07] ID: 8, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.72, Ports: [830 187 195 494], Software: PostgreSQL, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 9, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.72, Ports: [153 891 431 184], Software: Node.js, OS: CentOS 7
[2025-04-04 20:44:07] ID: 10, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.75, Ports: [44 911 865 338], Software: Nginx, OS: Debian 11
[2025-04-04 20:44:07] ID: 11, Type: Malware Infection, Severity: High, Status: Active, IP: 192.168.1.149, Ports: [93 896 155 268 828 500 0], Software: PostgreSQL, OS: Debian 11
[2025-04-04 20:44:07] ID: 12, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.13, Ports: [65 152 634 781 397 400 0], Software: PHP, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 13, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.70, Ports: [452 880 538 866 253], Software: Node.js, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 14, Type: Phishing, Severity: Medium, Status: Investigating, IP: 192.168.1.227, Ports: [94 694 765], Software: PostgreSQL, OS: Debian 11
[2025-04-04 20:44:07] ID: 15, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.194, Ports: [2 717 659], Software: MySQL, OS: Debian 11
[2025-04-04 20:44:07] ID: 16, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.201, Ports: [520 729 495 930], Software: Nginx, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 17, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.186, Ports: [75 625 196], Software: Nginx, OS: Debian 11
[2025-04-04 20:44:07] ID: 18, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.122, Ports: [5 197 688 452 24 950 0], Software: Apache, OS: CentOS 7
[2025-04-04 20:44:07] ID: 19, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.181, Ports: [26 538 914 187 870 500 0], Software: Apache, OS: Red Hat Enterprise Linux
[2025-04-04 20:44:07] ID: 20, Type: DDoS Attack, Severity: High, Status: Active, IP: 192.168.1.170, Ports: [6 734 302 353 547 440], Software: OpenSSH, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 21, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.209, Ports: [24 481 846 412], Software: Nginx, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 22, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.165, Ports: [448 32 695 948], Software: Nginx, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 23, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.31, Ports: [3 779 235 128 839 620], Software: PostgreSQL, OS: Windows Server 2019
[2025-04-04 20:44:07] ID: 24, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.56, Ports: [96 175 957 321], Software: PHP, OS: Ubuntu 20.04
[2025-04-04 20:44:07] ID: 25, Type: SQL Injection, Severity: High, Status: Active, IP: 192.168.1.89, Ports: [991], Software: Nginx, OS: Debian 11
[2025-04-04 20:44:07] ID: 26, Type: Security Anomaly, Severity: Medium, Status: Investigating, IP: 192.168.1.222, Ports: [114], Software: Apache, OS: Red Hat Enterprise Linux
